"Month","TotalEmissions","Scope1","Scope2","Scope3","CarbonIntensity"
"May 2024","0.1","0","0","0.1","13.1"
"Jun 2024","0.1","0","0","0.1","12.8"
"Jul 2024","1.2","0","0","1.2","12.1"
"Aug 2024","1.9","0","0","1.9","11.8"
"Sep 2024","1.8","0","0","1.8","11.9"
"Oct 2024","2.2","0","0","2.2","10.8"
"Nov 2024","0.3","0","0","0.3","10.1"
"Dec 2024","0.4","0","0","0.4","9.5"
"Jan 2025","0.7","0","0","0.7","9.2"
"Feb 2025","0.8","0","0","0.8","10.2"
"Mar 2025","0.9","0","0","0.9","9.2"
"Apr 2025","1","0","0","1","9.2"